claim_id,candidate_id,candidate_mapping_registry,claim_class,period_code,scope,metric_id,numeric_value,value_text,unit,display_value,rounding_digits,numerator,denominator,source_yoy_delta_oku_yen,calculation,source,verification_status,article_use,chart_ids,note,continuing_sample_size_limitation,profit_standard_error_limitation,continuing_margin_interpretation
V3-CONT-SMALLER-SAMPLE,SAMPLE_CONSTRUCTION_SENSITIVITY,CLAIM_CANDIDATE_REGISTRY_V3_EXPLICIT,FACT,20261,継続標本の標本設計,continuing_sample_size_note,,SMALLER_THAN_REGULAR_SERIES,text,通常系列より標本数が少ない,,,,,DIRECT_PUBLISHED_VALUE,財務省 keizoku.pdf 注記,PASS,True,,,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
V3-CURRENT-HEADLINE-REVERSAL,SAMPLE_CONSTRUCTION_SENSITIVITY,CLAIM_CANDIDATE_REGISTRY_V3_EXPLICIT,CALC,20261,資本金規模別の営業利益率方向見出し（金融業・保険業を除く）,headline_support_reversal,1.0,regular=True;continuing=False,boolean,継続標本では成立しない,,,,,small sales yoy > 0 AND small relative operating-margin direction DOWN AND large relative operating-margin direction UP,e-Stat表1と財務省 keizoku.pdf,PASS,True,,継続標本の利益率方向は代理指標。,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
V3-HEADLINE-REVERSAL-FREQUENCY,SAMPLE_CONSTRUCTION_SENSITIVITY,CLAIM_CANDIDATE_REGISTRY_V3_EXPLICIT,CALC,20161-20261,規模別見出しの成立可否（金融業・保険業を除く）,headline_reversal_frequency,26.82926829268293,,%,11/41四半期（26.83％）,2.0,11.0,41.0,,100*reversal_count/comparable_quarters,e-Stat表1と財務省 keizoku.pdf,PASS,True,historical_sample_reversal_frequency.png,比較不能な期は分母に入れず、0補完しない。,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
V3-MAIN-CAP19-MARGIN-DIRECTION,SAMPLE_CONSTRUCTION_SENSITIVITY,CLAIM_CANDIDATE_REGISTRY_V3_EXPLICIT,CALC,20261,資本金1千万円以上1億円未満層（金融業・保険業を除く）,operating_margin_change_direction,,DOWN,direction,低下,,,,,sign((1+operating_profit_yoy)/(1+sales_yoy)-1); positive operating-profit levels verified,e-Stat表1（通常系列）,PASS,True,current_sample_margin_direction.png,,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
V3-MAIN-CAP19-OPERATING-PROFIT-YOY,SAMPLE_CONSTRUCTION_SENSITIVITY,CLAIM_CANDIDATE_REGISTRY_V3_EXPLICIT,CALC,20261,資本金1千万円以上1億円未満層（金融業・保険業を除く）,operating_profit_yoy_pct,-1.8901839649312357,,%,1.9％減,1.0,,,,100*(current/year_ago-1); positive profit levels required,e-Stat表1（通常系列）,PASS,True,current_sample_margin_direction.png,,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
V3-MAIN-CAP19-SALES-YOY,SAMPLE_CONSTRUCTION_SENSITIVITY,CLAIM_CANDIDATE_REGISTRY_V3_EXPLICIT,CALC,20261,資本金1千万円以上1億円未満層（金融業・保険業を除く）,sales_yoy_pct,2.1008512896117715,,%,2.1％増,1.0,,,,100*(current/year_ago-1); positive profit levels required,e-Stat表1（通常系列）,PASS,True,current_sample_margin_direction.png,,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
V3-MAIN-CAP24-MARGIN-DIRECTION,SAMPLE_CONSTRUCTION_SENSITIVITY,CLAIM_CANDIDATE_REGISTRY_V3_EXPLICIT,CALC,20261,資本金1億円以上10億円未満層（金融業・保険業を除く）,operating_margin_change_direction,,UP,direction,上昇,,,,,sign((1+operating_profit_yoy)/(1+sales_yoy)-1); positive operating-profit levels verified,e-Stat表1（通常系列）,PASS,False,current_sample_margin_direction.png,,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
V3-MAIN-CAP24-OPERATING-PROFIT-YOY,SAMPLE_CONSTRUCTION_SENSITIVITY,CLAIM_CANDIDATE_REGISTRY_V3_EXPLICIT,CALC,20261,資本金1億円以上10億円未満層（金融業・保険業を除く）,operating_profit_yoy_pct,16.976869468516576,,%,17.0％増,1.0,,,,100*(current/year_ago-1); positive profit levels required,e-Stat表1（通常系列）,PASS,False,current_sample_margin_direction.png,,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
V3-MAIN-CAP24-SALES-YOY,SAMPLE_CONSTRUCTION_SENSITIVITY,CLAIM_CANDIDATE_REGISTRY_V3_EXPLICIT,CALC,20261,資本金1億円以上10億円未満層（金融業・保険業を除く）,sales_yoy_pct,-1.465079906536959,,%,1.5％減,1.0,,,,100*(current/year_ago-1); positive profit levels required,e-Stat表1（通常系列）,PASS,False,current_sample_margin_direction.png,,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
V3-MAIN-CAP25-MARGIN-DIRECTION,SAMPLE_CONSTRUCTION_SENSITIVITY,CLAIM_CANDIDATE_REGISTRY_V3_EXPLICIT,CALC,20261,資本金10億円以上層（金融業・保険業を除く）,operating_margin_change_direction,,UP,direction,上昇,,,,,sign((1+operating_profit_yoy)/(1+sales_yoy)-1); positive operating-profit levels verified,e-Stat表1（通常系列）,PASS,False,current_sample_margin_direction.png,,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
V3-MAIN-CAP25-OPERATING-PROFIT-YOY,SAMPLE_CONSTRUCTION_SENSITIVITY,CLAIM_CANDIDATE_REGISTRY_V3_EXPLICIT,CALC,20261,資本金10億円以上層（金融業・保険業を除く）,operating_profit_yoy_pct,18.494684964157273,,%,18.5％増,1.0,,,,100*(current/year_ago-1); positive profit levels required,e-Stat表1（通常系列）,PASS,False,current_sample_margin_direction.png,,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
V3-MAIN-CAP25-SALES-YOY,SAMPLE_CONSTRUCTION_SENSITIVITY,CLAIM_CANDIDATE_REGISTRY_V3_EXPLICIT,CALC,20261,資本金10億円以上層（金融業・保険業を除く）,sales_yoy_pct,1.6958349811963425,,%,1.7％増,1.0,,,,100*(current/year_ago-1); positive profit levels required,e-Stat表1（通常系列）,PASS,False,current_sample_margin_direction.png,,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
V3-NONOP-INTEREST-EXPENSE,NONOPERATING_BRIDGE,CLAIM_CANDIDATE_REGISTRY_V3_EXPLICIT,CALC,20261,全産業・全規模（金融業・保険業を除く）,interest_expense_profit_impact_yoy,-6759.860000000001,,億円,"-6,759.86億円",2.0,,,6759.860000000001,accounting_sign(-1) * source_yoy_delta,e-Stat表1 コード082–085,PASS,False,nonoperating_four_item_bridge.png,支払利息等は増加し、利益影響はマイナス。,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
V3-NONOP-INTEREST-INCOME,NONOPERATING_BRIDGE,CLAIM_CANDIDATE_REGISTRY_V3_EXPLICIT,CALC,20261,全産業・全規模（金融業・保険業を除く）,interest_and_dividend_income_profit_impact_yoy,152.04000000000087,,億円,+152.04億円,2.0,,,152.04000000000087,accounting_sign(+1) * source_yoy_delta,e-Stat表1 コード082–085,PASS,False,nonoperating_four_item_bridge.png,,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
V3-NONOP-NET-GAP,NONOPERATING_BRIDGE,CLAIM_CANDIDATE_REGISTRY_V3_EXPLICIT,CALC,20261,全産業・全規模（金融業・保険業を除く）,net_non_operating_gap_yoy_delta,15606.62,,億円,"+15,606.62億円",2.0,,,,sum(four signed non-operating item YoY impacts),e-Stat表1 コード081–086,PASS,False,nonoperating_four_item_bridge.png,,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
V3-NONOP-OTHER-EXPENSE,NONOPERATING_BRIDGE,CLAIM_CANDIDATE_REGISTRY_V3_EXPLICIT,CALC,20261,全産業・全規模（金融業・保険業を除く）,other_non_operating_expense_profit_impact_yoy,6790.129999999997,,億円,"+6,790.13億円",2.0,,,-6790.129999999997,accounting_sign(-1) * source_yoy_delta,e-Stat表1 コード082–085,PASS,False,nonoperating_four_item_bridge.png,,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
V3-NONOP-OTHER-INCOME,NONOPERATING_BRIDGE,CLAIM_CANDIDATE_REGISTRY_V3_EXPLICIT,CALC,20261,全産業・全規模（金融業・保険業を除く）,other_non_operating_income_profit_impact_yoy,15424.309999999998,,億円,"+15,424.31億円",2.0,,,15424.309999999998,accounting_sign(+1) * source_yoy_delta,e-Stat表1 コード082–085,PASS,False,nonoperating_four_item_bridge.png,特定要因に帰属させない。,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
V3-SMALL-MARGIN-REVERSAL-FREQUENCY,SAMPLE_CONSTRUCTION_SENSITIVITY,CLAIM_CANDIDATE_REGISTRY_V3_EXPLICIT,CALC,20161-20261,資本金1千万円以上1億円未満層の利益率方向（金融業・保険業を除く）,small_capital_margin_direction_reversal_frequency,39.02439024390244,,%,16/41四半期（39.02％）,2.0,16.0,41.0,,100*reversal_count/comparable_quarters,e-Stat表1と財務省 keizoku.pdf,PASS,True,historical_sample_reversal_frequency.png,比較不能な期は分母に入れず、0補完しない。,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
