claim_id,claim_role,claim_class,metric_id,scope,numeric_value,value_text,unit,numerator,denominator,display_value,rounding_digits,verification_status,article_use,chart_ids,article_tokens,calculation,source,note,exploratory_backtest_status,series_comparability_limitation,continuing_sample_size_limitation,profit_standard_error_limitation,continuing_margin_interpretation,sample_error_status,metric_type,legacy_unit_v3_1,internal_value,canonical_source_path,canonical_period_code,canonical_breakdown,canonical_category_code,canonical_series,canonical_metric_id,canonical_source_row_number,canonical_value_lineage
V31-DEADBAND-SMALL-D005,ROBUSTNESS,CALC,deadband_margin_direction_mismatch,small,38.46153846153847,,percent,15.0,39.0,±0.5%: 15/39（38.5％）,1,PASS,True,deadband_sensitivity.png,±0.5％;15/39;38.5％,retain only quarters where both estimates lie outside +/-d,e-Stat表1・財務省「継続標本のみを用いた計数」,単位は利益率の相対変化率（%）。絶対ポイント差ではない。,POST_HOC_EXPLORATORY_BACKTEST_RULE_DEFINED_AFTER_2026Q1,通常系列と継続標本系列は、企業の参入・退出、回答継続条件、推計用乗率、未回答補完、母集団構成の違いを含み得るため、いずれかを基準系列として優越させない。,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。,NOT_QUANTIFIED_OPERATING_AND_ORDINARY_PROFIT_STANDARD_ERRORS_NOT_CALCULATED_BY_MOF,direction_mismatch_rate,%,38.46153846153847,,,,,,,,
V31-DEADBAND-SMALL-D010,ROBUSTNESS,CALC,deadband_margin_direction_mismatch,small,37.83783783783784,,percent,14.0,37.0,±1%: 14/37（37.8％）,1,PASS,True,deadband_sensitivity.png,±1％;14/37;37.8％,retain only quarters where both estimates lie outside +/-d,e-Stat表1・財務省「継続標本のみを用いた計数」,単位は利益率の相対変化率（%）。絶対ポイント差ではない。,POST_HOC_EXPLORATORY_BACKTEST_RULE_DEFINED_AFTER_2026Q1,通常系列と継続標本系列は、企業の参入・退出、回答継続条件、推計用乗率、未回答補完、母集団構成の違いを含み得るため、いずれかを基準系列として優越させない。,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。,NOT_QUANTIFIED_OPERATING_AND_ORDINARY_PROFIT_STANDARD_ERRORS_NOT_CALCULATED_BY_MOF,direction_mismatch_rate,%,37.83783783783784,,,,,,,,
V31-DEADBAND-SMALL-D020,ROBUSTNESS,CALC,deadband_margin_direction_mismatch,small,30.303030303030305,,percent,10.0,33.0,±2%: 10/33（30.3％）,1,PASS,True,deadband_sensitivity.png,±2％;10/33;30.3％,retain only quarters where both estimates lie outside +/-d,e-Stat表1・財務省「継続標本のみを用いた計数」,単位は利益率の相対変化率（%）。絶対ポイント差ではない。,POST_HOC_EXPLORATORY_BACKTEST_RULE_DEFINED_AFTER_2026Q1,通常系列と継続標本系列は、企業の参入・退出、回答継続条件、推計用乗率、未回答補完、母集団構成の違いを含み得るため、いずれかを基準系列として優越させない。,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。,NOT_QUANTIFIED_OPERATING_AND_ORDINARY_PROFIT_STANDARD_ERRORS_NOT_CALCULATED_BY_MOF,direction_mismatch_rate,%,30.303030303030305,,,,,,,,
V31-DEADBAND-SMALL-D030,ROBUSTNESS,CALC,deadband_margin_direction_mismatch,small,27.58620689655172,,percent,8.0,29.0,±3%: 8/29（27.6％）,1,PASS,True,deadband_sensitivity.png,±3％;8/29;27.6％,retain only quarters where both estimates lie outside +/-d,e-Stat表1・財務省「継続標本のみを用いた計数」,単位は利益率の相対変化率（%）。絶対ポイント差ではない。,POST_HOC_EXPLORATORY_BACKTEST_RULE_DEFINED_AFTER_2026Q1,通常系列と継続標本系列は、企業の参入・退出、回答継続条件、推計用乗率、未回答補完、母集団構成の違いを含み得るため、いずれかを基準系列として優越させない。,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。,NOT_QUANTIFIED_OPERATING_AND_ORDINARY_PROFIT_STANDARD_ERRORS_NOT_CALCULATED_BY_MOF,direction_mismatch_rate,%,27.58620689655172,,,,,,,,
V31-EXTREME-YOY-FLAGGED,ROBUSTNESS,CALC,extreme_yoy_rate_gt_100_count,資本金1千万円以上1億円未満層,3.0,,count,,,3件,0,PASS,True,,3件,count(abs(continuing operating-profit YoY)>100%),e-Stat表1・財務省「継続標本のみを用いた計数」,機械的レビュー印。低ベース又はゼロ近傍を立証しない。,POST_HOC_EXPLORATORY_BACKTEST_RULE_DEFINED_AFTER_2026Q1,通常系列と継続標本系列は、企業の参入・退出、回答継続条件、推計用乗率、未回答補完、母集団構成の違いを含み得るため、いずれかを基準系列として優越させない。,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。,NOT_QUANTIFIED_OPERATING_AND_ORDINARY_PROFIT_STANDARD_ERRORS_NOT_CALCULATED_BY_MOF,count,quarters,3.0,,,,,,,,
V31-EXTREME-YOY-MISMATCH,ROBUSTNESS,CALC,extreme_yoy_flagged_mismatch_count,資本金1千万円以上1億円未満層,0.0,,count,,,0件,0,PASS,True,,0件,count(flagged AND direction mismatch),e-Stat表1・財務省「継続標本のみを用いた計数」,,POST_HOC_EXPLORATORY_BACKTEST_RULE_DEFINED_AFTER_2026Q1,通常系列と継続標本系列は、企業の参入・退出、回答継続条件、推計用乗率、未回答補完、母集団構成の違いを含み得るため、いずれかを基準系列として優越させない。,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。,NOT_QUANTIFIED_OPERATING_AND_ORDINARY_PROFIT_STANDARD_ERRORS_NOT_CALCULATED_BY_MOF,count,quarters,0.0,,,,,,,,
V31-EXTREME-YOY-THRESHOLD,DEFINITION,CALC,extreme_yoy_review_threshold,継続標本の営業利益前年比,100.0,,percent,,,100%,0,PASS,True,,100％,mechanical review threshold only,e-Stat表1・財務省「継続標本のみを用いた計数」,低ベース又はゼロ近傍を立証しない。,POST_HOC_EXPLORATORY_BACKTEST_RULE_DEFINED_AFTER_2026Q1,通常系列と継続標本系列は、企業の参入・退出、回答継続条件、推計用乗率、未回答補完、母集団構成の違いを含み得るため、いずれかを基準系列として優越させない。,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。,NOT_QUANTIFIED_OPERATING_AND_ORDINARY_PROFIT_STANDARD_ERRORS_NOT_CALCULATED_BY_MOF,yoy_growth_rate,%,100.0,,,,,,,,
V31-HEADLINE-2X2-BOTH,SUPPORTING,CALC,headline_2x2_both,規模別複合見出し、2016Q1–2026Q1,1.0,,count,,,1回,0,PASS,True,headline_2x2.png,1,count(Boolean support cell),e-Stat表1・財務省「継続標本のみを用いた計数」,,POST_HOC_EXPLORATORY_BACKTEST_RULE_DEFINED_AFTER_2026Q1,通常系列と継続標本系列は、企業の参入・退出、回答継続条件、推計用乗率、未回答補完、母集団構成の違いを含み得るため、いずれかを基準系列として優越させない。,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。,NOT_QUANTIFIED_OPERATING_AND_ORDINARY_PROFIT_STANDARD_ERRORS_NOT_CALCULATED_BY_MOF,count,quarters,1.0,,,,,,,,
V31-HEADLINE-2X2-CONTINUING-ONLY,SUPPORTING,CALC,headline_2x2_continuing_only,規模別複合見出し、2016Q1–2026Q1,2.0,,count,,,2回,0,PASS,True,headline_2x2.png,2,count(Boolean support cell),e-Stat表1・財務省「継続標本のみを用いた計数」,,POST_HOC_EXPLORATORY_BACKTEST_RULE_DEFINED_AFTER_2026Q1,通常系列と継続標本系列は、企業の参入・退出、回答継続条件、推計用乗率、未回答補完、母集団構成の違いを含み得るため、いずれかを基準系列として優越させない。,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。,NOT_QUANTIFIED_OPERATING_AND_ORDINARY_PROFIT_STANDARD_ERRORS_NOT_CALCULATED_BY_MOF,count,quarters,2.0,,,,,,,,
V31-HEADLINE-2X2-NEITHER,SUPPORTING,CALC,headline_2x2_neither,規模別複合見出し、2016Q1–2026Q1,29.0,,count,,,29回,0,PASS,True,headline_2x2.png,29,count(Boolean support cell),e-Stat表1・財務省「継続標本のみを用いた計数」,,POST_HOC_EXPLORATORY_BACKTEST_RULE_DEFINED_AFTER_2026Q1,通常系列と継続標本系列は、企業の参入・退出、回答継続条件、推計用乗率、未回答補完、母集団構成の違いを含み得るため、いずれかを基準系列として優越させない。,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。,NOT_QUANTIFIED_OPERATING_AND_ORDINARY_PROFIT_STANDARD_ERRORS_NOT_CALCULATED_BY_MOF,count,quarters,29.0,,,,,,,,
V31-HEADLINE-2X2-REGULAR-ONLY,SUPPORTING,CALC,headline_2x2_regular_only,規模別複合見出し、2016Q1–2026Q1,9.0,,count,,,9回,0,PASS,True,headline_2x2.png,9,count(Boolean support cell),e-Stat表1・財務省「継続標本のみを用いた計数」,,POST_HOC_EXPLORATORY_BACKTEST_RULE_DEFINED_AFTER_2026Q1,通常系列と継続標本系列は、企業の参入・退出、回答継続条件、推計用乗率、未回答補完、母集団構成の違いを含み得るため、いずれかを基準系列として優越させない。,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。,NOT_QUANTIFIED_OPERATING_AND_ORDINARY_PROFIT_STANDARD_ERRORS_NOT_CALCULATED_BY_MOF,count,quarters,9.0,,,,,,,,
V31-HEADLINE-CONTINUING-TOTAL,SUPPORTING,CALC,continuing-total,規模別複合見出し、2016Q1–2026Q1,3.0,,count,,,3回,0,PASS,True,headline_2x2.png,3回,sum(supported cells),e-Stat表1・財務省「継続標本のみを用いた計数」,,POST_HOC_EXPLORATORY_BACKTEST_RULE_DEFINED_AFTER_2026Q1,通常系列と継続標本系列は、企業の参入・退出、回答継続条件、推計用乗率、未回答補完、母集団構成の違いを含み得るため、いずれかを基準系列として優越させない。,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。,NOT_QUANTIFIED_OPERATING_AND_ORDINARY_PROFIT_STANDARD_ERRORS_NOT_CALCULATED_BY_MOF,count,quarters,3.0,,,,,,,,
V31-HEADLINE-REGULAR-TOTAL,SUPPORTING,CALC,regular-total,規模別複合見出し、2016Q1–2026Q1,10.0,,count,,,10回,0,PASS,True,headline_2x2.png,10回,sum(supported cells),e-Stat表1・財務省「継続標本のみを用いた計数」,,POST_HOC_EXPLORATORY_BACKTEST_RULE_DEFINED_AFTER_2026Q1,通常系列と継続標本系列は、企業の参入・退出、回答継続条件、推計用乗率、未回答補完、母集団構成の違いを含み得るため、いずれかを基準系列として優越させない。,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。,NOT_QUANTIFIED_OPERATING_AND_ORDINARY_PROFIT_STANDARD_ERRORS_NOT_CALCULATED_BY_MOF,count,quarters,10.0,,,,,,,,
V31-LARGE-DECISION-MARGIN-MEDIAN,SUPPORTING,CALC,decision-margin-median,large,8.5,,percentage_points,,,8.5ポイント,1,PASS,True,mismatch_heatmap.png,8.5ポイント,median(abs(continuing operating YoY-sales YoY)),e-Stat表1・財務省「継続標本のみを用いた計数」,,POST_HOC_EXPLORATORY_BACKTEST_RULE_DEFINED_AFTER_2026Q1,通常系列と継続標本系列は、企業の参入・退出、回答継続条件、推計用乗率、未回答補完、母集団構成の違いを含み得るため、いずれかを基準系列として優越させない。,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。,NOT_QUANTIFIED_OPERATING_AND_ORDINARY_PROFIT_STANDARD_ERRORS_NOT_CALCULATED_BY_MOF,difference_between_growth_rates,%,8.5,,,,,,,,
V31-LARGE-SERIES-DIVERGENCE-MEDIAN,SUPPORTING,CALC,series-divergence-median,large,1.0500234778042916,,percentage_points,,,1.05pt,2,PASS,True,mismatch_heatmap.png,1.05,median(abs((regular op-sales)-(continuing op-sales))),e-Stat表1・財務省「継続標本のみを用いた計数」,,POST_HOC_EXPLORATORY_BACKTEST_RULE_DEFINED_AFTER_2026Q1,通常系列と継続標本系列は、企業の参入・退出、回答継続条件、推計用乗率、未回答補完、母集団構成の違いを含み得るため、いずれかを基準系列として優越させない。,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。,NOT_QUANTIFIED_OPERATING_AND_ORDINARY_PROFIT_STANDARD_ERRORS_NOT_CALCULATED_BY_MOF,difference_between_growth_rates,pt,1.0500234778042916,,,,,,,,
V31-MIDDLE-DECISION-MARGIN-MEDIAN,SUPPORTING,CALC,decision-margin-median,middle,9.0,,percentage_points,,,9.0ポイント,1,PASS,True,mismatch_heatmap.png,9.0ポイント,median(abs(continuing operating YoY-sales YoY)),e-Stat表1・財務省「継続標本のみを用いた計数」,,POST_HOC_EXPLORATORY_BACKTEST_RULE_DEFINED_AFTER_2026Q1,通常系列と継続標本系列は、企業の参入・退出、回答継続条件、推計用乗率、未回答補完、母集団構成の違いを含み得るため、いずれかを基準系列として優越させない。,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。,NOT_QUANTIFIED_OPERATING_AND_ORDINARY_PROFIT_STANDARD_ERRORS_NOT_CALCULATED_BY_MOF,difference_between_growth_rates,%,9.0,,,,,,,,
V31-MIDDLE-SERIES-DIVERGENCE-MEDIAN,SUPPORTING,CALC,series-divergence-median,middle,4.070024346681685,,percentage_points,,,4.07pt,2,PASS,True,mismatch_heatmap.png,4.07,median(abs((regular op-sales)-(continuing op-sales))),e-Stat表1・財務省「継続標本のみを用いた計数」,,POST_HOC_EXPLORATORY_BACKTEST_RULE_DEFINED_AFTER_2026Q1,通常系列と継続標本系列は、企業の参入・退出、回答継続条件、推計用乗率、未回答補完、母集団構成の違いを含み得るため、いずれかを基準系列として優越させない。,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。,NOT_QUANTIFIED_OPERATING_AND_ORDINARY_PROFIT_STANDARD_ERRORS_NOT_CALCULATED_BY_MOF,difference_between_growth_rates,pt,4.070024346681685,,,,,,,,
